Datetime,Open,High,Low,Close
2022-10-26 00:00:00,1.58005,1.58015,1.57955,1.57955
2022-10-26 00:01:00,1.57875,1.57925,1.57875,1.57925
2022-10-26 00:02:00,1.57925,1.57925,1.57875,1.57900
2022-10-26 00:03:00,1.57905,1.57905,1.57865,1.57875
2022-10-26 00:04:00,1.57905,1.57905,1.57865,1.57890
2022-10-26 00:05:00,1.57905,1.57905,1.57840,1.57850
2022-10-26 00:06:00,1.57875,1.57880,1.57825,1.57825
2022-10-26 00:07:00,1.57840,1.57855,1.57805,1.57805
2022-10-26 00:08:00,1.57805,1.57805,1.57715,1.57725
2022-10-26 00:09:00,1.57705,1.57765,1.57705,1.57755
2022-10-26 00:10:00,1.57755,1.57755,1.57715,1.57740
2022-10-26 00:11:00,1.57755,1.57755,1.57705,1.57725
2022-10-26 00:12:00,1.57715,1.57730,1.57675,1.57690
2022-10-26 00:13:00,1.57705,1.57705,1.57605,1.57630
2022-10-26 00:14:00,1.57605,1.57675,1.57590,1.57590
2022-10-26 00:15:00,1.57590,1.57615,1.57570,1.57600
2022-10-26 00:16:00,1.57605,1.57605,1.57530,1.57530
2022-10-26 00:17:00,1.57530,1.57565,1.57490,1.57505
2022-10-26 00:18:00,1.57505,1.57505,1.57435,1.57455
2022-10-26 00:19:00,1.57435,1.57435,1.57320,1.57320
2022-10-26 00:20:00,1.57320,1.57335,1.57310,1.57335
2022-10-26 00:21:00,1.57320,1.57385,1.57320,1.57355
2022-10-26 00:22:00,1.57385,1.57435,1.57385,1.57435
2022-10-26 00:23:00,1.57330,1.57335,1.57295,1.57335
2022-10-26 00:24:00,1.57305,1.57335,1.57245,1.57320
2022-10-26 00:25:00,1.57335,1.57405,1.57335,1.57405
2022-10-26 00:26:00,1.57435,1.57435,1.57405,1.57405
2022-10-26 00:27:00,1.57370,1.57370,1.57235,1.57235
2022-10-26 00:28:00,1.57255,1.57285,1.57245,1.57285
2022-10-26 00:29:00,1.57135,1.57135,1.57095,1.57105
2022-10-26 00:30:00,1.57100,1.57170,1.57035,1.57060
2022-10-26 00:31:00,1.57050,1.57060,1.57015,1.57035
2022-10-26 00:32:00,1.57035,1.57120,1.57035,1.57060
2022-10-26 00:33:00,1.57060,1.57060,1.57015,1.57050
2022-10-26 00:34:00,1.57020,1.57035,1.56950,1.56985
2022-10-26 00:35:00,1.56950,1.56985,1.56925,1.56985
2022-10-26 00:36:00,1.57035,1.57085,1.56965,1.56965
2022-10-26 00:37:00,1.56965,1.57015,1.56915,1.56950
2022-10-26 00:38:00,1.57035,1.57035,1.56950,1.56985
2022-10-26 00:39:00,1.56965,1.57010,1.56965,1.56985
2022-10-26 00:40:00,1.56985,1.57105,1.56985,1.57035
2022-10-26 00:41:00,1.57025,1.57025,1.56935,1.57015
2022-10-26 00:42:00,1.57015,1.57020,1.56975,1.56985
2022-10-26 00:43:00,1.56985,1.57035,1.56985,1.57015
2022-10-26 00:44:00,1.57015,1.57015,1.56935,1.56935
2022-10-26 00:45:00,1.56915,1.56915,1.56785,1.56800
2022-10-26 00:46:00,1.56815,1.56865,1.56785,1.56785
2022-10-26 00:47:00,1.56740,1.56740,1.56665,1.56670
2022-10-26 00:48:00,1.56655,1.56695,1.56655,1.56665
2022-10-26 00:49:00,1.56645,1.56645,1.56580,1.56595
2022-10-26 00:50:00,1.56595,1.56655,1.56555,1.56605
2022-10-26 00:51:00,1.56595,1.56690,1.56580,1.56690
2022-10-26 00:52:00,1.56665,1.56665,1.56545,1.56595
2022-10-26 00:53:00,1.56595,1.56645,1.56580,1.56630
