Datetime,Open,High,Low,Close
2022-10-21 00:00:00,82.76850,82.76850,82.74750,82.74850
2022-10-21 00:01:00,82.74850,82.78400,82.74850,82.78400
2022-10-21 00:02:00,82.74850,82.79400,82.74850,82.79400
2022-10-21 00:03:00,82.79850,82.81400,82.74850,82.77850
2022-10-21 00:04:00,82.75950,82.78400,82.75850,82.76500
2022-10-21 00:06:00,82.79400,82.79400,82.78850,82.78850
2022-10-21 00:07:00,82.79400,82.79400,82.78400,82.78400
2022-10-21 00:08:00,82.78850,82.79850,82.78850,82.79400
2022-10-21 00:09:00,82.78700,82.78850,82.78700,82.78850
2022-10-21 00:10:00,82.79400,82.79850,82.77150,82.77150
2022-10-21 00:11:00,82.77150,82.79400,82.75850,82.78400
2022-10-21 00:12:00,82.77350,82.77850,82.75950,82.77400
2022-10-21 00:13:00,82.75250,82.77400,82.75250,82.77400
2022-10-21 00:14:00,82.75450,82.75850,82.73650,82.74850
2022-10-21 00:15:00,82.73450,82.75850,82.73450,82.75400
2022-10-21 00:16:00,82.73650,82.75400,82.73650,82.75400
2022-10-21 00:17:00,82.76000,82.76000,82.73650,82.75850
2022-10-21 00:18:00,82.75850,82.76400,82.73650,82.74450
2022-10-21 00:19:00,82.74550,82.74550,82.74550,82.74550
2022-10-21 00:20:00,82.74550,82.74550,82.74550,82.74550
2022-10-21 00:21:00,82.74450,82.74450,82.74450,82.74450
2022-10-21 00:22:00,82.74550,82.74550,82.74550,82.74550
2022-10-21 00:23:00,82.74450,82.74450,82.74450,82.74450
2022-10-21 00:24:00,82.74450,82.76850,82.74450,82.76400
2022-10-21 00:25:00,82.74450,82.76850,82.74450,82.76400
2022-10-21 00:26:00,82.76850,82.76850,82.74250,82.74250
2022-10-21 00:27:00,82.74550,82.76400,82.74550,82.76400
2022-10-21 00:28:00,82.76850,82.76850,82.74450,82.74450
2022-10-21 00:29:00,82.76400,82.77000,82.74450,82.76850
2022-10-21 00:30:00,82.74550,82.76850,82.74550,82.74750
2022-10-21 00:31:00,82.76400,82.77000,82.76400,82.76850
2022-10-21 00:32:00,82.74750,82.77550,82.74750,82.76850
2022-10-21 00:33:00,82.78850,82.78850,82.77400,82.77400
2022-10-21 00:34:00,82.76850,82.77400,82.76850,82.77400
2022-10-21 00:35:00,82.77400,82.77400,82.77400,82.77400
2022-10-21 00:36:00,82.77400,82.78400,82.76850,82.78400
2022-10-21 00:38:00,82.77400,82.77400,82.77400,82.77400
2022-10-21 00:39:00,82.77850,82.77850,82.77400,82.77400
2022-10-21 00:40:00,82.77400,82.77400,82.77400,82.77400
2022-10-21 00:41:00,82.76850,82.78850,82.76850,82.78850
2022-10-21 00:42:00,82.77400,82.77400,82.76850,82.76850
2022-10-21 00:43:00,82.77400,82.77400,82.76700,82.76700
2022-10-21 00:44:00,82.76850,82.78400,82.76850,82.78400
2022-10-21 00:45:00,82.78850,82.78850,82.76950,82.76950
2022-10-21 00:46:00,82.76950,82.78400,82.76950,82.78400
2022-10-21 00:47:00,82.76550,82.78400,82.76550,82.77850
2022-10-21 00:48:00,82.76550,82.76550,82.76550,82.76550
2022-10-21 00:49:00,82.76750,82.78850,82.76550,82.76950
2022-10-21 00:50:00,82.76550,82.77850,82.76250,82.77850
2022-10-21 00:51:00,82.76750,82.77250,82.75050,82.76850
2022-10-21 00:52:00,82.76400,82.76850,82.75950,82.75950
2022-10-21 00:53:00,82.77550,82.77850,82.75050,82.77850
2022-10-21 00:54:00,82.77400,82.78850,82.75950,82.75950
2022-10-21 00:55:00,82.75950,82.78400,82.75950,82.78400
2022-10-21 00:56:00,82.75950,82.75950,82.75950,82.75950
2022-10-21 00:57:00,82.75950,82.75950,82.75950,82.75950
2022-10-21 00:58:00,82.75950,82.75950,82.75950,82.75950
2022-10-21 00:59:00,82.75950,82.77850,82.75950,82.77850
2022-10-21 01:00:00,82.76150,82.78850,82.76150,82.78850
2022-10-21 01:01:00,82.75150,82.79400,82.75150,82.78850
2022-10-21 01:02:00,82.75750,82.77400,82.74750,82.76850
2022-10-21 01:03:00,82.76850,82.76850,82.72950,82.73400
2022-10-21 01:04:00,82.75750,82.75750,82.72450,82.73550
2022-10-21 01:05:00,82.72450,82.72950,82.72450,82.72950
2022-10-21 01:06:00,82.72450,82.73850,82.71850,82.71850
2022-10-21 01:07:00,82.69150,82.72850,82.69150,82.69850
2022-10-21 01:08:00,82.70950,82.70950,82.68850,82.68850
2022-10-21 01:09:00,82.68850,82.69850,82.67850,82.67850
2022-10-21 01:10:00,82.67850,82.69850,82.67850,82.68400
2022-10-21 01:11:00,82.67850,82.67850,82.65850,82.67400
2022-10-21 01:12:00,82.66850,82.67050,82.65850,82.67050
2022-10-21 01:13:00,82.60400,82.64550,82.60400,82.62550
2022-10-21 01:14:00,82.62050,82.64850,82.62050,82.63050
2022-10-21 01:15:00,82.62850,82.64400,82.62050,82.63050
2022-10-21 01:16:00,82.63400,82.63400,82.59400,82.59400
2022-10-21 01:17:00,82.63050,82.63050,82.58450,82.59250
2022-10-21 01:18:00,82.60400,82.60400,82.58550,82.59850
2022-10-21 01:19:00,82.59250,82.59850,82.58550,82.59400
2022-10-21 01:20:00,82.59250,82.59250,82.57550,82.58850
2022-10-21 01:21:00,82.57850,82.58550,82.55150,82.55400
2022-10-21 01:22:00,82.57550,82.57550,82.53400,82.53400
2022-10-21 01:23:00,82.54850,82.55150,82.53050,82.53050
2022-10-21 01:24:00,82.56850,82.57400,82.55550,82.56400
2022-10-21 01:25:00,82.54850,82.55550,82.54550,82.54550
2022-10-21 01:26:00,82.54850,82.56400,82.54850,82.56400
2022-10-21 01:27:00,82.54550,82.60400,82.54550,82.60400
2022-10-21 01:28:00,82.58850,82.58850,82.58400,82.58400
