Datetime,Open,High,Low,Close
2022-10-10 14:27:00,82.70600,82.70600,82.68800,82.68800
2022-10-10 14:28:00,82.67200,82.67200,82.67200,82.67200
2022-10-10 14:31:00,82.64000,82.68750,82.64000,82.68500
2022-10-10 14:32:00,82.68000,82.68200,82.67500,82.68200
2022-10-10 14:33:00,82.66500,82.66500,82.64500,82.64500
2022-10-10 14:34:00,82.63000,82.66800,82.63000,82.65000
2022-10-10 14:35:00,82.64500,82.66600,82.64500,82.64800
2022-10-10 14:36:00,82.62500,82.63800,82.62500,82.63800
2022-10-10 14:37:00,82.62500,82.64900,82.62500,82.64500
2022-10-10 14:38:00,82.63500,82.64700,82.63500,82.63750
2022-10-10 14:39:00,82.65000,82.66300,82.64500,82.66300
2022-10-10 14:40:00,82.64250,82.67300,82.64000,82.67300
2022-10-10 14:41:00,82.64500,82.67700,82.64500,82.65500
2022-10-10 14:42:00,82.66000,82.68500,82.66000,82.67700
2022-10-10 14:43:00,82.67700,82.68600,82.65750,82.68600
2022-10-10 14:44:00,82.67000,82.70000,82.65750,82.70000
2022-10-10 14:45:00,82.67000,82.68000,82.66500,82.67900
2022-10-10 14:46:00,82.67250,82.68800,82.67250,82.68100
2022-10-10 14:47:00,82.67000,82.67500,82.65600,82.65600
2022-10-10 14:48:00,82.66500,82.66500,82.66000,82.66250
2022-10-10 14:49:00,82.66000,82.66500,82.64800,82.65500
2022-10-10 14:50:00,82.61500,82.61500,82.56500,82.56500
2022-10-10 14:51:00,82.59000,82.59000,82.52300,82.52300
2022-10-10 14:52:00,82.50500,82.53700,82.47500,82.51250
2022-10-10 14:53:00,82.49500,82.54800,82.49500,82.50500
2022-10-10 14:54:00,82.49500,82.52000,82.49500,82.50500
2022-10-10 14:55:00,82.48500,82.48500,82.37500,82.37500
2022-10-10 14:56:00,82.36300,82.40750,82.36300,82.39500
2022-10-10 14:57:00,82.36000,82.37500,82.36000,82.37250
2022-10-10 14:58:00,82.37750,82.38500,82.35300,82.38500
2022-10-10 14:59:00,82.37300,82.38500,82.37300,82.37500
2022-10-10 15:00:00,82.39000,82.39500,82.38900,82.39500
2022-10-10 15:01:00,82.38250,82.43000,82.38250,82.41000
2022-10-10 15:02:00,82.43500,82.43700,82.38500,82.39400
2022-10-10 15:03:00,82.40500,82.40500,82.38200,82.40000
2022-10-10 15:04:00,82.39750,82.39750,82.37600,82.37600
2022-10-10 15:05:00,82.38500,82.38750,82.37400,82.38750
2022-10-10 15:06:00,82.39000,82.39000,82.34400,82.34400
