Datetime,Open,High,Low,Close
2022-10-26 00:00:00,32.37400,32.37400,32.37300,32.37300
2022-10-26 00:01:00,32.37300,32.37400,32.37300,32.37400
2022-10-26 00:02:00,32.37300,32.37300,32.37200,32.37200
2022-10-26 00:03:00,32.37200,32.37300,32.37200,32.37300
2022-10-26 00:04:00,32.37200,32.37200,32.36950,32.36950
2022-10-26 00:05:00,32.37000,32.37200,32.36800,32.37200
2022-10-26 00:06:00,32.37000,32.37100,32.36750,32.36900
2022-10-26 00:07:00,32.36900,32.37100,32.36800,32.37100
2022-10-26 00:08:00,32.36800,32.37100,32.36800,32.36900
2022-10-26 00:09:00,32.36900,32.37000,32.36200,32.37000
2022-10-26 00:10:00,32.36900,32.37000,32.36200,32.36700
2022-10-26 00:11:00,32.36500,32.36800,32.36200,32.36800
2022-10-26 00:12:00,32.36600,32.36700,32.34750,32.36700
2022-10-26 00:13:00,32.36500,32.36600,32.34650,32.36300
2022-10-26 00:14:00,32.33700,32.36000,32.33700,32.35200
2022-10-26 00:15:00,32.34600,32.35800,32.33500,32.34400
2022-10-26 00:16:00,32.34400,32.35000,32.33200,32.34300
2022-10-26 00:17:00,32.34800,32.34800,32.33900,32.34400
2022-10-26 00:18:00,32.34300,32.34600,32.33700,32.33900
2022-10-26 00:19:00,32.34100,32.34200,32.32900,32.32900
2022-10-26 00:20:00,32.33600,32.34000,32.32300,32.32300
2022-10-26 00:21:00,32.33800,32.33800,32.32100,32.32100
2022-10-26 00:22:00,32.33100,32.33400,32.32400,32.32900
2022-10-26 00:23:00,32.32800,32.32800,32.31800,32.31800
2022-10-26 00:24:00,32.32900,32.33100,32.31600,32.31600
2022-10-26 00:25:00,32.32600,32.33000,32.32500,32.33000
2022-10-26 00:26:00,32.32400,32.32600,32.31200,32.31200
2022-10-26 00:27:00,32.31700,32.32400,32.31200,32.32200
2022-10-26 00:28:00,32.32300,32.32300,32.31150,32.32100
2022-10-26 00:29:00,32.31500,32.32000,32.31500,32.32000
2022-10-26 00:30:00,32.30600,32.32000,32.30600,32.32000
2022-10-26 00:31:00,32.31900,32.31900,32.30750,32.30750
2022-10-26 00:32:00,32.31700,32.31700,32.30700,32.30800
2022-10-26 00:33:00,32.30800,32.31600,32.30800,32.31200
2022-10-26 00:34:00,32.30850,32.31500,32.30850,32.31500
2022-10-26 00:35:00,32.29900,32.31400,32.29900,32.31000
2022-10-26 00:36:00,32.29900,32.31400,32.29900,32.30500
2022-10-26 00:37:00,32.30800,32.30800,32.30000,32.30000
2022-10-26 00:38:00,32.30400,32.31000,32.30250,32.30600
2022-10-26 00:39:00,32.30200,32.30500,32.30200,32.30400
2022-10-26 00:40:00,32.30500,32.30750,32.29850,32.30400
2022-10-26 00:41:00,32.30500,32.30800,32.30300,32.30400
2022-10-26 00:42:00,32.30600,32.30600,32.30300,32.30400
2022-10-26 00:43:00,32.30300,32.30800,32.30300,32.30400
2022-10-26 00:44:00,32.30300,32.30650,32.30300,32.30600
2022-10-26 00:45:00,32.30400,32.30650,32.30300,32.30650
2022-10-26 00:46:00,32.30400,32.30500,32.29950,32.29950
2022-10-26 00:47:00,32.30200,32.30500,32.29950,32.30300
2022-10-26 00:48:00,32.30300,32.30400,32.28900,32.30400
2022-10-26 00:49:00,32.28500,32.30400,32.28500,32.29800
2022-10-26 00:50:00,32.28900,32.29800,32.28400,32.28600
2022-10-26 00:51:00,32.29600,32.29600,32.28400,32.28600
2022-10-26 00:52:00,32.29000,32.29600,32.28500,32.29300
2022-10-26 00:53:00,32.29300,32.29800,32.28150,32.28800
2022-10-26 00:54:00,32.29800,32.29800,32.28800,32.29300
2022-10-26 00:55:00,32.29300,32.29300,32.29300,32.29300
2022-10-26 00:56:00,32.29100,32.29300,32.28100,32.28800
2022-10-26 00:57:00,32.28600,32.29200,32.27900,32.28400
2022-10-26 00:58:00,32.28400,32.28800,32.28100,32.28100
2022-10-26 00:59:00,32.28800,32.28800,32.28100,32.28500
2022-10-26 01:00:00,32.28200,32.28400,32.28000,32.28100
2022-10-26 01:01:00,32.28200,32.28400,32.27400,32.28100
2022-10-26 01:02:00,32.28100,32.28100,32.26800,32.27600
2022-10-26 01:03:00,32.26400,32.27700,32.26400,32.27700
2022-10-26 01:04:00,32.26300,32.27100,32.25700,32.27000
2022-10-26 01:05:00,32.27100,32.27100,32.26100,32.26700
2022-10-26 01:06:00,32.26600,32.27250,32.25900,32.26350
2022-10-26 01:07:00,32.29050,32.29050,32.26100,32.26600
2022-10-26 01:08:00,32.26950,32.29050,32.26700,32.27100
2022-10-26 01:09:00,32.29050,32.29050,32.27000,32.28000
2022-10-26 01:10:00,32.27400,32.28900,32.27300,32.27300
2022-10-26 01:11:00,32.27300,32.28400,32.27300,32.28000
2022-10-26 01:12:00,32.28300,32.28500,32.27500,32.27700
2022-10-26 01:13:00,32.27950,32.28200,32.27700,32.27700
2022-10-26 01:14:00,32.27100,32.28100,32.27100,32.27300
2022-10-26 01:15:00,32.27700,32.27700,32.27100,32.27300
2022-10-26 01:16:00,32.27800,32.27800,32.27300,32.27500
2022-10-26 01:17:00,32.27500,32.27500,32.27300,32.27300
2022-10-26 01:18:00,32.27450,32.27450,32.27300,32.27300
2022-10-26 01:19:00,32.27300,32.27500,32.27300,32.27500
2022-10-26 01:20:00,32.27300,32.27400,32.27000,32.27000
2022-10-26 01:21:00,32.27300,32.27400,32.26900,32.26900
2022-10-26 01:22:00,32.27000,32.27000,32.26700,32.26800
2022-10-26 01:23:00,32.26900,32.27100,32.26900,32.27100
2022-10-26 01:24:00,32.27250,32.27250,32.26450,32.26750
2022-10-26 01:25:00,32.26450,32.27250,32.26450,32.27200
2022-10-26 01:26:00,32.27000,32.27000,32.25750,32.25750
2022-10-26 01:27:00,32.26600,32.26900,32.26400,32.26800
2022-10-26 01:28:00,32.25800,32.26400,32.25800,32.26400
2022-10-26 01:29:00,32.26400,32.26600,32.26150,32.26150
2022-10-26 01:30:00,32.26250,32.26250,32.25800,32.26200
2022-10-26 01:31:00,32.26300,32.26400,32.26100,32.26400
2022-10-26 01:32:00,32.26250,32.26250,32.25450,32.26100
2022-10-26 01:33:00,32.26200,32.26250,32.26000,32.26000
2022-10-26 01:34:00,32.26000,32.26000,32.25450,32.25700
2022-10-26 01:35:00,32.25800,32.25800,32.25250,32.25300
2022-10-26 01:36:00,32.25500,32.26400,32.25500,32.25700
2022-10-26 01:37:00,32.25900,32.26400,32.25600,32.25600
2022-10-26 01:38:00,32.26300,32.26400,32.25700,32.26100
2022-10-26 01:39:00,32.26400,32.26400,32.25800,32.25800
2022-10-26 01:40:00,32.25700,32.26250,32.25450,32.26000
2022-10-26 01:41:00,32.26250,32.26250,32.25400,32.25900
2022-10-26 01:42:00,32.25900,32.25900,32.25450,32.25700
2022-10-26 01:43:00,32.25400,32.25700,32.25300,32.25300
2022-10-26 01:44:00,32.25400,32.26000,32.25300,32.25750
2022-10-26 01:45:00,32.25400,32.26500,32.25300,32.26500
2022-10-26 01:46:00,32.25400,32.25900,32.25300,32.25900
2022-10-26 01:47:00,32.26500,32.26500,32.25400,32.25400
2022-10-26 01:48:00,32.26050,32.26050,32.25200,32.25600
2022-10-26 01:49:00,32.25500,32.26350,32.25500,32.26200
2022-10-26 01:50:00,32.25600,32.25950,32.25200,32.25500
2022-10-26 01:51:00,32.25700,32.26000,32.25600,32.25800
2022-10-26 01:52:00,32.25500,32.25950,32.25500,32.25700
2022-10-26 01:53:00,32.25600,32.25800,32.25400,32.25500
2022-10-26 01:54:00,32.25500,32.25900,32.25400,32.25600
2022-10-26 01:55:00,32.25400,32.26700,32.25300,32.26700
2022-10-26 01:56:00,32.25600,32.26400,32.25500,32.26400
2022-10-26 01:57:00,32.25600,32.26700,32.25600,32.26000
2022-10-26 01:58:00,32.25900,32.26350,32.25900,32.26100
2022-10-26 01:59:00,32.26100,32.26700,32.26100,32.26200
2022-10-26 02:00:00,32.26200,32.26400,32.26050,32.26100
2022-10-26 02:01:00,32.26200,32.26500,32.26000,32.26000
2022-10-26 02:02:00,32.26200,32.26300,32.26050,32.26050
2022-10-26 02:03:00,32.25950,32.26500,32.25950,32.26300
2022-10-26 02:04:00,32.26450,32.26450,32.25950,32.26100
2022-10-26 02:05:00,32.26000,32.27350,32.26000,32.26300
2022-10-26 02:06:00,32.26200,32.27350,32.26200,32.26400
2022-10-26 02:07:00,32.26850,32.26850,32.26300,32.26550
2022-10-26 02:08:00,32.26700,32.27300,32.26500,32.26600
2022-10-26 02:09:00,32.26600,32.27000,32.26600,32.26800
2022-10-26 02:10:00,32.26700,32.27200,32.26700,32.27000
2022-10-26 02:11:00,32.26900,32.27100,32.26700,32.26800
2022-10-26 02:12:00,32.26700,32.27000,32.26700,32.27000
2022-10-26 02:13:00,32.26800,32.27000,32.26700,32.26900
2022-10-26 02:14:00,32.26900,32.27000,32.26800,32.27000
2022-10-26 02:15:00,32.26800,32.26900,32.26600,32.26700
2022-10-26 02:16:00,32.26700,32.26900,32.26700,32.26900
2022-10-26 02:17:00,32.26800,32.26900,32.26700,32.26700
2022-10-26 02:18:00,32.26800,32.26800,32.26700,32.26700
2022-10-26 02:19:00,32.26600,32.26800,32.26600,32.26700
2022-10-26 02:21:00,32.26700,32.26800,32.26400,32.26600
2022-10-26 02:22:00,32.26700,32.26700,32.26400,32.26600
2022-10-26 02:23:00,32.26600,32.26800,32.26400,32.26700
2022-10-26 02:24:00,32.26400,32.26700,32.26400,32.26700
2022-10-26 02:25:00,32.26400,32.26700,32.26400,32.26700
2022-10-26 02:26:00,32.26600,32.26900,32.26400,32.26900
2022-10-26 02:27:00,32.26900,32.26900,32.26400,32.26800
2022-10-26 02:28:00,32.26400,32.26900,32.26400,32.26800
2022-10-26 02:29:00,32.26900,32.27100,32.26400,32.27000
2022-10-26 02:30:00,32.26100,32.26900,32.26100,32.26800
2022-10-26 02:31:00,32.26100,32.27000,32.26000,32.27000
2022-10-26 02:32:00,32.26600,32.26900,32.26000,32.26400
2022-10-26 02:33:00,32.26000,32.27000,32.25600,32.27000
2022-10-26 02:34:00,32.26900,32.27000,32.25700,32.25700
2022-10-26 02:35:00,32.27000,32.27000,32.25700,32.26300
2022-10-26 02:36:00,32.26300,32.26800,32.25700,32.26400
2022-10-26 02:37:00,32.26000,32.26900,32.25700,32.26600
2022-10-26 02:38:00,32.26500,32.26800,32.26100,32.26700
2022-10-26 02:39:00,32.26600,32.26800,32.26400,32.26700
2022-10-26 02:40:00,32.26500,32.26700,32.25700,32.26300
2022-10-26 02:41:00,32.26400,32.26600,32.25700,32.26500
2022-10-26 02:42:00,32.26200,32.26700,32.25700,32.26400
2022-10-26 02:43:00,32.26500,32.26600,32.26000,32.26200
2022-10-26 02:44:00,32.26200,32.26600,32.26200,32.26500
2022-10-26 02:45:00,32.26500,32.26700,32.25700,32.25700
2022-10-26 02:46:00,32.26500,32.26700,32.25700,32.26600
2022-10-26 02:47:00,32.26500,32.26700,32.25800,32.26200
2022-10-26 02:48:00,32.26700,32.26700,32.26400,32.26600
2022-10-26 02:49:00,32.26600,32.26700,32.26400,32.26500
2022-10-26 02:50:00,32.26600,32.26700,32.26500,32.26700
2022-10-26 02:51:00,32.26700,32.26700,32.26500,32.26600
2022-10-26 02:52:00,32.26600,32.26700,32.26500,32.26700
2022-10-26 02:53:00,32.26700,32.26800,32.26600,32.26800
2022-10-26 02:54:00,32.26800,32.26800,32.26700,32.26700
2022-10-26 02:55:00,32.26600,32.26800,32.26600,32.26800
2022-10-26 02:56:00,32.26800,32.26800,32.25900,32.26700
2022-10-26 02:57:00,32.26700,32.26700,32.25900,32.25900
2022-10-26 02:58:00,32.26700,32.26800,32.26200,32.26500
2022-10-26 02:59:00,32.26700,32.26700,32.26200,32.26300
2022-10-26 03:00:00,32.26800,32.26800,32.26500,32.26500
2022-10-26 03:01:00,32.26500,32.26800,32.26400,32.26800
2022-10-26 03:02:00,32.26800,32.27000,32.26700,32.26900
2022-10-26 03:03:00,32.26900,32.27100,32.26800,32.27100
